z_min,top_frac,thr_bps,total_ret,sharpe,max_dd,win_rate
0.6,0.40,20,1.178588,0.074800,1.531517,11.947674
0.6,0.40,25,1.178588,0.074800,1.531517,11.928295
0.6,0.40,30,1.178588,0.074800,1.531517,11.908915
0.6,0.40,35,1.178588,0.074800,1.531517,11.899225
0.6,0.50,20,14.134012,0.156824,8.822818,14.341085
0.6,0.50,25,14.112685,0.156662,8.839622,14.302326
0.6,0.50,30,14.044229,0.156088,8.884357,14.273256
0.6,0.50,35,12.909214,0.145578,8.781686,14.224806
0.6,0.60,20,14.134012,0.156824,8.822818,14.341085
0.6,0.60,25,14.112685,0.156662,8.839622,14.302326
0.6,0.60,30,14.044229,0.156088,8.884357,14.273256
0.6,0.60,35,12.909214,0.145578,8.781686,14.224806
0.8,0.40,20,1.058260,0.098118,0.643648,2.877907
0.8,0.40,25,1.058260,0.098118,0.643648,2.877907
0.8,0.40,30,1.058260,0.098118,0.643648,2.877907
0.8,0.40,35,1.058260,0.098118,0.643648,2.877907
0.8,0.50,20,13.113723,0.157009,3.098101,8.769380
0.8,0.50,25,13.113723,0.157009,3.098101,8.769380
0.8,0.50,30,13.113723,0.157009,3.098101,8.769380
0.8,0.50,35,13.111821,0.156989,3.099730,8.769380
0.8,0.60,20,13.113723,0.157009,3.098101,8.769380
0.8,0.60,25,13.113723,0.157009,3.098101,8.769380
0.8,0.60,30,13.113723,0.157009,3.098101,8.769380
0.8,0.60,35,13.111821,0.156989,3.099730,8.769380
1.0,0.40,20,-0.593565,-0.152055,0.643648,2.112403
1.0,0.40,25,-0.593565,-0.152055,0.643648,2.112403
1.0,0.40,30,-0.593565,-0.152055,0.643648,2.112403
1.0,0.40,35,-0.593565,-0.152055,0.643648,2.112403
1.0,0.50,20,-0.777741,-0.056455,2.075308,4.825581
1.0,0.50,25,-0.777741,-0.056455,2.075308,4.825581
1.0,0.50,30,-0.777741,-0.056455,2.075308,4.825581
1.0,0.50,35,-0.777741,-0.056455,2.075308,4.815891
1.0,0.60,20,-0.777741,-0.056455,2.075308,4.825581
1.0,0.60,25,-0.777741,-0.056455,2.075308,4.825581
1.0,0.60,30,-0.777741,-0.056455,2.075308,4.825581
1.0,0.60,35,-0.777741,-0.056455,2.075308,4.815891
